canonical_smiles,value
*NCCCCCCCCCNC(=O)CCCCCCCC(*)=O,1.01
*CC(*)C(=O)N(C)C,1.08
*CC(*)C(=O)N(C(C)C)C(C)C,0.99
*CC(*)C(=O)N(CCCC)CCCC,0.97
*CC(*)(C)C(=O)NC(C)(C)C,1.03
*CC(*)C(=O)NC(C)(C)C,1.05
*CC(*)C(=O)NC(C)CC,1.05
*CC(*)C(=O)Nc1ccccc1,1.2
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,0.93
*CC(*)C(=O)N(C)c1ccccc1,1.14
*CC(*)C(=O)NC(C)C,1.08
*CC(*)C(=O)NCCCC,1.05
*CC(*)C(=O)NC(C)CCC,1.03
*CC(*)SC,1.19
*CC(*)(Cl)OC(C)=O,1.46
*CC(*)(Cl)C(=O)OC,1.46
*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,1.4
*CC(*)(Cl)C(=O)OC(C)C,1.28
*CC(*)CC(C)C,0.87
*CC(*)(Cl)C(=O)OCC(C)C,1.22
*OCCCCCCOC(=O)CCCCCCCCC(*)=O,1.05
*NCCCCCCCNC(=O)CCCCCC(*)=O,1.05
*CC(COC)O*,1.09
*CCC(*)=O,1.2
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.36
*CCS*,1.21
*OCCOC(=O)CCC(*)=O,1.31
*CCOC(=O)c1ccccc1C(=O)O*,1.35
*CCOc1ccc(C(=O)O*)cc1,1.26
*OCCOC(=O)c1ccc2cc(C(*)=O)ccc2c1,1.33
*CCOC(=O)c1cccc(C(=O)O*)c1,1.36
*CCOC(=O)O*,1.4
*CC(*)(Cl)C(=O)OCC,1.36
*OCC(*)CCl,1.35
*C(C(=O)OCCC)C(*)C(=O)OCCC,1.15
*C(C(=O)OC)C(*)C(=O)OC,1.31
*CC(*)(CC(=O)OC)C(=O)OC,1.26
*C(C(=O)OCC)C(*)C(=O)OCC,1.22
*NCCCCCCCCCNC(=O)CCCCCCCCC(*)=O,1.01
*NCCCCCCCCCCNC(=O)CCCCCCCC(*)=O,1.01
*CC(*)(Cl)C(=O)OC1CCCCC1,1.18
*OCCCCOC(=O)CCCCCCCCC(*)=O,1.07
*CCCCOC(=O)c1cccc(C(=O)O*)c1,1.27
*CC(*)(Cl)C(=O)OCCCC,1.22
*Oc1ccc(C(C)(CC)c2ccc(OC(*)=O)cc2)cc1,1.18
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.22
*OC(=O)CCCCCCCC(*)=O,1.14
*CC(*)C(N)=O,1.35
*NCCCCCCCCC(*)=O,1.01
*CC(*)C(=O)OCCCCSC,1.15
*OC(=O)Oc1ccc(Sc2ccc(*)cc2)cc1,1.33
*OC(=O)c1ccc(Oc2ccc(OCCCCC(*)=O)cc2)cc1,1.21
*OC(=O)c1ccc(CCCCCc2ccc(C(*)=O)cc2)cc1,1.19
*CC(*)C(=O)OCCCSC,1.19
*CC(*)c1ccc(-c2ccccc2)cc1,1.08
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,1.09
